Customer,Address,norm_address,lat,lon
HEB - Burleson,"165 NW John Jones Dr. Burleson , TX 76028","165 Northwest John Jones Drive, Burleson, Texas 76028, United States",32.520591,-97.352093
Kroger - Arlington - 000592,"5009 W Sublett Road, Arlington, TX 76017","5009 W Sublett Rd, Arlington, Texas 76017, United States",32.67009,-97.19324
Kroger - Bartonville 000572,"3400 FM 407 East Bartonville , TX 76226","3400 Mcmakin Road, Lantana, Texas 76226, United States",33.074725,-97.130199
Kroger - Burleson 000591,"1631 SW Wilshire Blvd, Burleson, TX 76028","1631 Southwest Wilshire Boulevard, Burleson, Texas 76028, United States",32.516517,-97.349387
Kroger - Cedar Springs 000528,"4142 Cedar Springs Dallas , TX 75219","4142 Cedar Springs Road, Dallas, Texas 75219, United States",32.813118,-96.812153
Kroger - Loop 288 Denton 000586,"1592 South Loop 288 Denton , TX 76208","1592 South Loop 288, Denton, Texas 76205, United States",33.195604,-97.096818
Kroger - MacArthur Irving 000577,"7505 N. MacArthur Blvd Irving , TX 75063","7505 North Macarthur Boulevard, Irving, Texas 75063, United States",32.908563,-96.960944
Kroger - Mansfield 000594,"3300 E. Broad St Mansfield , TX 76063","3300 East Broad Street, Mansfield, Texas 76063, United States",32.573919,-97.084597
Kroger - Mockingbird 000518,"5665 E. Mockingbird Dallas , TX 76206","5665 East Mockingbird Lane, Dallas, Texas 75206, United States",32.838133,-96.77099
Kroger - North Tarrant 000535,"9150 N Tarrant Pkwy North Richland Hills , TX 75056","9150 North Tarrant Parkway, North Richland Hills, Texas 76182, United States",32.901999,-97.188997
Kroger - TCU 000520,"3120 S. University Dr. Fort Worth , TX 76109","3120 South University Drive, Fort Worth, Texas 76109, United States",32.704653,-97.361024
Kroger - Texas Sage Trail 000542,"3300 Texas Sage Trail Fort Worth , TX 76177","3300 Texas Sage Trail, Fort Worth, Texas 76177, United States",32.911589,-97.309283
Kroger - University Denton 000493,"500 W. University Denton , TX 76201","500 West University Drive, Denton, Texas 76201, United States",33.231866,-97.137795
HEB - Bandera/1604,"9238 TX-1604 Loop, San Antonio, TX 78249","Guardian Protection - San Antonio, 5253 Prue Road, Building 3 Suite 300, San Antonio, Texas 78249, United States",29.545838,-98.588965
HEB - Waco Woodway,"9100 Woodway Drive Waco , TX 76712","9100 Woodway Drive, Waco, Texas 76712, United States",31.495379,-97.221389
Kroger - Bailey Boswell 000576,"4750 W Bailey Boswell Rd, Fort Worth, TX","4750 West Bailey Boswell Road, Fort Worth, Texas 76179, United States",32.882598,-97.395348
Kroger - Basswood 000530,"1653 Basswood Blvd, Fort Worth, TX 76131","1653 Basswood Boulevard, Fort Worth, Texas 76131, United States",32.871263,-97.34176
Kroger - Custer Frisco 000561,"12221 Custer Rd. Frisco , TX 75034","12221 Custer Road, Frisco, Texas 75035, United States",33.177061,-96.734799
Kroger - Dallas Parkway Plano 000540,"3305 N. Dallas Parkway Plano , TX 75093","3305 Dallas Parkway, Plano, Texas 75093, United States",33.046414,-96.831636
Kroger - Legacy Frisco 000546,"4851 Legacy Dr. Frisco , TX 75034","4851 Legacy Drive, Frisco, Texas 75034, United States",33.11765,-96.84161
Kroger - Little Elm 000580,"2671 Little Elm Parkway Little Elm , TX 75068","2671 Little Elm Parkway, Little Elm, Texas 75068, United States",33.170181,-96.891731
Kroger - North Beach Street 000562,"12600 N Beach Street Fort Worth , TX 76248","12600 N Beach St, Fort Worth, Texas 76244, United States",32.95935,-97.27184
