CUSTOMER,Chain,Store Number,SalesBro,Phase,NeedsSSMSupport,AIM Parameters::SSM Level,Retail Type,Zone,Power Rank,PowerRank Points::Points,Deliv Type,Deliv Duration,Google Maps,Deliv Notes,LineClean_Required,Billing Type,Fintech Name,TABC Permit,Tax ID,RITS Name,Street,City,ZIP,Is Distributor,Is Distro,iControl Name,2019 Sales,2020 Sales,Artificially Annualized Full Year 2020 Sales,% Growth 2020 over 2019
Kroger - Bailey Boswell 000576,Kroger,576,C,0,Yes,Weekend Inv - Weekly,F,4,CO1,1,G,22,"4750 W Bailey Boswell Rd, Fort Worth, TX",2/24/20 Per Kevin receiving hours are correct M-S 5-10AM including Wednesday. CP,No,Fintech,Kroger 576,BQ976020,17460445194,Kroger - Bailey Boswell 000576,4750 W Bailey Boswell Rd,Fort Worth,76179,No,Martin House,," $29,808 "," $21,428 "," $64,284 ",116%
Kroger - Basswood 000530,Kroger,530,C,0,Yes,Weekend Inv - Weekly,F,4,CO1,1,G,25,"1653 Basswood Blvd, Fort Worth, TX 76131",4/22/20 NO BACKSTOCK! Everything MUST fit in coldbox and 3 warm shelves. If you can't fit it you must get with store manager before leaving to let him know. The only exception is 2packs. They go in wine cage so BW can tape them up before going to the floor. ,No,Fintech,Kroger - Basswood 530,BQ978880,17460445194,Kroger - Basswood 000530,1653 Basswood Blvd,Fort Worth,76131,No,Martin House,," $22,444 "," $15,484 "," $46,452 ",107%
Midway Mart,None, ,C,0,No,,F,12,CO1,1,L,18,"406 W Hickory Denton , TX 76201",,No,COD,,BQ308007,17525883165,Midway Mart,406 W Hickory,Denton,76201,No,Martin House,," $18,197 "," $10,288 "," $30,864 ",70%
Kroger - Loop 288 Denton 000586,Kroger,586,C,0,Yes,Weekend Inv - Weekly,F,12,CO1,1,G,22,"1592 South Loop 288 Denton , TX 76208","B&W Manager Jordan.
backstock uboat in back hallway by meat. Multiple shadow boxes by pick 6. Pull from shadow to fill cold box and then pull from backstock to fill shadow boxes.",No,Fintech,Kroger - 000586 Loop 288 Denton,BQ553822,13116785307,Kroger - 000586 Loop 288 Denton,1592 South Loop 288,Denton,76208,No,Martin House,," $14,108 "," $9,004 "," $27,012 ",91%
Kroger - North Beach Street 000562,Kroger,562,C,0,Yes,Mon - SalesVisit,F,4,CO1,1,G,25,"12600 N Beach Street Fort Worth , TX 76248",,No,Fintech,Kroger - North Beach 000562,BQ711047,13116785307,Kroger - North Beach Street 000562,12600 N Beach Street,Fort Worth,76248,No,Martin House,," $10,728 "," $9,004 "," $27,012 ",152%
Bearded Monk - Denton,None,,C,0,No,,B,12,CO1,1,L,18,"122 E McKinney St Denton, TX 76201","POC Ben , and Ben",No,COD,,BG918790,32056440327,The Bearded Monk - Denton,122 E Mckinney St,Denton,76201,No,Martin House,," $12,593 "," $7,160 "," $21,480 ",71%
Total Wine - Denton,Total Wine,511,C,0,Yes,Weekend Inv - Weekly,F,12,CO1,1,L,40,"1800 S Loop 288 Ste 370, Denton, TX 76205",,No,COD,,P 915740,32044792565,Total Wine - Denton,"1800 South Loop 288 Denton, TX 76025",Denton,76025,No,Martin House,," $12,019 "," $6,737 "," $20,211 ",68%
Crow's Liquor,None, ,C,0,No,,F,4.5,CO2,0.5,L,15,"9510 WHITE SETTLEMENT ROAD FORT WORTH , TX 76108",,No,COD,,P 112139,32027565715,Crow's Liquor,9510 WHITE SETTLEMENT ROAD,FORT WORTH,76108,No,Martin House,," $10,626 "," $5,788 "," $17,364 ",63%
HEB - SAN ANTONIO 39 PLUS,HEB,463,C,0,No,,F,200,CO1,1,G,18,"1150 NW LOOP 1604 SAN ANTONIO , TX 78248",,No,EFT,,BG1002475,17405371752,HEB - SAN ANTONIO 39 PLUS,1150 NW LOOP 1604,SAN ANTONIO,78248,No,Martin House,," $1,344 "," $5,648 "," $16,944 ",1161%
Alamo City Liquor,None,,C,0,No,,F,201,CO1,1,L,18,"2943 Thousand Oaks # 3, San Antonio, TX 78247",,No,COD,,P613221,18105698585,Alamo City Liquor,2943 Thousand Oaks # 3,San Antonio,78247,No,Martin House,," $7,040 "," $5,256 "," $15,768 ",124%
